Latitude,Longitude,Date,Time_UTC,Depth,Depth Type,Magnitude Type,Magnitude,Region Name,Last Update,Eqid,unknown field
13.81,121.1,2020-04-22,03:19:57,10,f,mb,4.5,MINDORO, PHILIPPINES,2020-04-28 23:17,850323
13.76,120.92,2020-04-22,02:36:19,10, , M,4.2,MINDORO, PHILIPPINES,2020-04-22 03:50,850325
10.45,125.2,2020-04-21,21:43:05,10,f,mb,4.7,LEYTE, PHILIPPINES,2020-04-21 22:55,850252
6.69,125.23,2020-04-18,15:22:16,32, , M,3.6,MINDANAO, PHILIPPINES,2020-04-18 15:35,849329
5.65,126.54,2020-04-10,18:45:49,80, ,Mw,5.2,MINDANAO, PHILIPPINES,2020-04-11 06:41,846838
20.45,122.12,2020-04-10,16:44:56,166, ,Mw,5.9,BATAN ISL REGION, PHILIPPINES,2020-04-11 06:38,846810
9.22,124.01,2020-04-07,12:30:36,18, , M,4.4,BOHOL, PHILIPPINES,2020-04-07 12:45,845855
5.76,125.14,2020-03-26,15:38:02,50,f,Mw,6.1,MINDANAO, PHILIPPINES,2020-03-26 16:34,842102
6.7,125.18,2020-03-22,16:34:50,12, , M,4,MINDANAO, PHILIPPINES,2020-03-22 16:51,840861
14.94,120.17,2020-03-19,06:49:48,65, ,mb,4.6,LUZON, PHILIPPINES,2020-03-19 07:55,839763
15,119.79,2020-03-19,06:33:00,25, , M,4.6,LUZON, PHILIPPINES,2020-03-19 07:01,839767
15.94,120.15,2020-03-18,13:20:13,8, , M,3.9,LUZON, PHILIPPINES,2020-03-19 12:21,839487
16.17,120.08,2020-03-14,00:13:50,80, ,mb,4.4,LUZON, PHILIPPINES,2020-03-20 07:52,838239
6.73,125.01,2020-03-13,18:37:34,15, , M,3.9,MINDANAO, PHILIPPINES,2020-03-13 18:52,838178
7.72,121.98,2020-03-03,14:55:38,40, ,Mw,5,MINDANAO, PHILIPPINES,2020-03-03 15:51,835282
11.49,124.42,2020-03-03,06:51:14,100, ,mb,4.2,LEYTE, PHILIPPINES,2020-03-03 07:51,835160
11.33,124.64,2020-03-01,21:19:24,40, ,mb,5.2,LEYTE, PHILIPPINES,2020-03-01 22:04,834779
6.85,124.99,2020-02-27,01:03:20,10,f,mb,4.6,MINDANAO, PHILIPPINES,2020-02-27 07:50,833622
6.05,124.03,2020-02-25,13:13:09,541, ,mb,4.4,MINDANAO, PHILIPPINES,2020-02-25 15:47,833199
6.96,126.15,2020-02-20,23:59:15,39, ,mb,4.3,MINDANAO, PHILIPPINES,2020-02-28 03:26,831832
5.65,125.61,2020-02-20,09:54:06,200, ,Mw,5.4,MINDANAO, PHILIPPINES,2020-02-20 14:19,831699
14.33,121.38,2020-02-14,12:28:48,7, , M,3.7,LUZON, PHILIPPINES,2020-02-14 13:21,829892
5.49,126.57,2020-02-06,13:40:05,10,f,Mw,6,MINDANAO, PHILIPPINES,2020-02-06 13:53,827418
6.61,125.26,2020-02-05,18:23:52,17, , M,3.7,MINDANAO, PHILIPPINES,2020-02-05 18:35,827175
6.32,125.37,2020-02-03,17:51:55,4, , M,4,MINDANAO, PHILIPPINES,2020-02-03 18:05,826479
