Date,Time_UTC,Latitude,Longitude,Depth,Depth Type,Magnitude Type,Magnitude,Region Name,Last Update,Eqid,
2020-05-28,05:17:31,16.63,120.43,94, ,Mw,5.1,LUZON, PHILIPPINES,2020-05-28 05:54,862397
2020-05-23,02:10:27,15.55,121.72,52, ,mb,5.1,LUZON, PHILIPPINES,2020-05-23 14:41,860640
2020-05-20,12:45:07,5.27,126.11,93,f,Mw,5,MINDANAO, PHILIPPINES,2020-05-20 13:21,859625
2020-05-09,19:18:12,14.04,120.55,100, ,Mw,5.3,LUZON, PHILIPPINES,2020-05-10 07:19,855457
2020-04-10,18:45:49,5.65,126.54,80, ,Mw,5.2,MINDANAO, PHILIPPINES,2020-04-11 06:41,846838
2020-04-10,16:44:56,20.45,122.12,166, ,Mw,5.9,BATAN ISL REGION, PHILIPPINES,2020-04-11 06:38,846810
2020-04-07,12:30:36,9.22,124.01,18, , M,4.4,BOHOL, PHILIPPINES,2020-04-07 12:45,845855
2020-03-26,15:38:02,5.76,125.14,50,f,Mw,6.1,MINDANAO, PHILIPPINES,2020-03-26 16:34,842102
2020-03-22,16:34:50,6.7,125.18,12, , M,4,MINDANAO, PHILIPPINES,2020-03-22 16:51,840861
2020-03-19,06:49:48,14.94,120.17,65, ,mb,4.6,LUZON, PHILIPPINES,2020-03-19 07:55,839763
2020-03-19,06:33:00,15,119.79,25, , M,4.6,LUZON, PHILIPPINES,2020-03-19 07:01,839767
2020-03-03,06:51:14,11.49,124.42,100, ,mb,4.2,LEYTE, PHILIPPINES,2020-03-03 07:51,835160
2020-03-01,21:19:24,11.33,124.64,40, ,mb,5.2,LEYTE, PHILIPPINES,2020-03-01 22:04,834779
2020-02-20,09:54:06,5.65,125.61,200, ,Mw,5.4,MINDANAO, PHILIPPINES,2020-02-20 14:19,831699
2020-02-06,13:40:05,5.49,126.57,10,f,Mw,6,MINDANAO, PHILIPPINES,2020-02-06 13:53,827418
2020-02-05,18:23:52,6.61,125.26,17, , M,3.7,MINDANAO, PHILIPPINES,2020-02-05 18:35,827175
2020-01-31,11:18:49,6.65,125.42,40, ,mb,5.2,MINDANAO, PHILIPPINES,2020-01-31 13:03,825307
2020-01-19,12:59:03,13.74,120.9,12, , M,4.2,MINDORO, PHILIPPINES,2020-01-19 13:10,820873
2020-01-12,20:55:46,14.09,121.36,32, ,mb,4.6,LUZON, PHILIPPINES,2020-01-13 07:53,818868
2020-01-05,18:58:52,6.14,126.2,80, ,Mw,5.1,MINDANAO, PHILIPPINES,2020-01-06 07:39,817105
2020-01-04,12:40:06,6.39,125.27,27, , M,3.5,MINDANAO, PHILIPPINES,2020-01-04 12:56,816865
