Date,Time_UTC,Latitude,Longitude,Depth,Depth Type,Magnitude Type,Magnitude,Region Name,Last Update,Eqid,,
2020-05-28,05:17:31,16.63,120.43,94, ,Mw,5.1,LUZON, PHILIPPINES,2020-05-28 05:54,862397,
2020-05-27,14:15:01,10.11,126.13,9, , M,3.8,PHILIPPINE ISLANDS REGION,2020-05-27 14:30,862203,,
2020-05-23,02:10:27,15.55,121.72,52, ,mb,5.1,LUZON, PHILIPPINES,2020-05-23 14:41,860640,
2020-05-20,13:56:43,6.62,125.59,170, ,mb,4.9,MINDANAO, PHILIPPINES,2020-05-20 15:15,859656,
2020-05-20,12:45:07,5.27,126.11,93,f,Mw,5,MINDANAO, PHILIPPINES,2020-05-20 13:21,859625,
2020-05-19,19:38:11,5.52,124.96,51, ,mb,4.8,MINDANAO, PHILIPPINES,2020-05-20 06:50,859349,
2020-05-19,11:08:17,10.69,125.02,1, , M,3.5,LEYTE, PHILIPPINES,2020-05-19 11:20,859216,
2020-05-16,20:32:04,6.75,125.06,14, , M,3.9,MINDANAO, PHILIPPINES,2020-05-16 20:45,858066,
2020-05-15,07:02:35,13.59,123.22,15, , M,3.6,LUZON, PHILIPPINES,2020-05-15 07:17,857217,
2020-05-12,07:46:40,15.38,119.9,48, , M,4.2,LUZON, PHILIPPINES,2020-05-12 07:55,856240,
2020-05-09,19:56:48,12.78,123.38,5, , M,4.2,MASBATE REGION, PHILIPPINES,2020-05-09 20:20,855467,
2020-05-09,19:18:12,14.04,120.55,100, ,Mw,5.3,LUZON, PHILIPPINES,2020-05-10 07:19,855457,
2020-05-04,14:12:40,11.11,122,10, ,mb,4.7,PANAY, PHILIPPINES,2020-05-04 19:19,853950,
2020-04-22,03:19:57,13.81,121.1,10,f,mb,4.5,MINDORO, PHILIPPINES,2020-04-28 23:17,850323,
2020-04-22,02:36:19,13.76,120.92,10, , M,4.2,MINDORO, PHILIPPINES,2020-04-22 03:50,850325,
2020-04-21,21:43:05,10.45,125.2,10,f,mb,4.7,LEYTE, PHILIPPINES,2020-04-21 22:55,850252,
2020-04-18,15:22:16,6.69,125.23,32, , M,3.6,MINDANAO, PHILIPPINES,2020-04-18 15:35,849329,
2020-04-10,18:45:49,5.65,126.54,80, ,Mw,5.2,MINDANAO, PHILIPPINES,2020-04-11 06:41,846838,
2020-04-10,16:44:56,20.45,122.12,166, ,Mw,5.9,BATAN ISL REGION, PHILIPPINES,2020-04-11 06:38,846810,
2020-04-07,12:30:36,9.22,124.01,18, , M,4.4,BOHOL, PHILIPPINES,2020-04-07 12:45,845855,
